time,place,mag,depth,lon,lat,type,alert,tsunami,status,id,hour,month,day_of_week,tsl,hazard_label,target,zone,norm_mag,norm_depth,risk_score
2017-11-11 02:12:03.910,"83 km E of Tadine, New Caledonia",4.8,10.0,168.6867,-21.5316,earthquake,,0,reviewed,",us2000blvv,",2,11,5,0.9324388888888889,MEDIUM,1,0,0.48,0.9857142857142858,6.357142857142857
2016-12-09 18:11:59.200,"100 km WSW of Kirakira, Solomon Islands",5.0,30.1,161.0525,-10.7601,earthquake,,0,reviewed,",us20007zla,",18,12,4,0.2688305555555556,MEDIUM,1,0,0.5,0.957,6.370999999999999
2024-04-16 16:06:15.536,"17 km ESE of Union, Philippines",5.0,51.666,126.2537,9.6873,earthquake,,0,reviewed,",us7000mcg7,",16,4,1,1.1222247222222221,MEDIUM,1,0,0.5,0.9261914285714286,6.278574285714286
2023-04-24 13:38:38.230,near the coast of Venezuela,4.6,89.96,-62.2962,10.6549,earthquake,,0,reviewed,",us6000k6rv,",13,4,0,0.23887944444444445,MEDIUM,1,0,0.45999999999999996,0.8714857142857143,5.914457142857143
2021-08-18 05:55:47.130,South Sandwich Islands region,4.7,35.0,-25.0985,-58.8148,earthquake,,0,reviewed,",us7000f4ws,",5,8,2,0.9619641666666666,MEDIUM,1,0,0.47000000000000003,0.95,6.2
2022-11-29 15:59:00.763,Reykjanes Ridge,4.8,10.0,-35.4353,53.8202,earthquake,,0,reviewed,",us6000j6dc,",15,11,1,0.005376944444444445,MEDIUM,1,0,0.48,0.9857142857142858,6.357142857142857
2015-02-24 04:29:58.000,"12 km N of Jordán, Colombia",4.7,152.5,-73.117,6.842,earthquake,,0,reviewed,",usc000tsl9,",4,2,1,1.282172222222222,MEDIUM,1,0,0.47000000000000003,0.7821428571428571,5.696428571428571
2022-02-15 03:55:49.037,"Pagan region, Northern Mariana Islands",4.5,188.28,145.6846,18.3544,earthquake,,0,reviewed,",us7000gkz7,",3,2,1,1.2924322222222222,MEDIUM,1,0,0.45,0.7310285714285714,5.443085714285713
2016-04-25 04:45:46.910,"75 km NW of Port-Olry, Vanuatu",4.5,32.89,166.6639,-14.4825,earthquake,,0,reviewed,",us10005dv4,",4,4,0,5.100494444444444,MEDIUM,1,0,0.45,0.9530142857142857,6.109042857142857
2015-06-03 18:56:39.160,"58 km ESE of Sulangan, Philippines",4.5,60.91,126.3096,10.718,earthquake,,0,reviewed,",us20002pe7,",18,6,2,3.314525,MEDIUM,1,0,0.45,0.9129857142857143,5.988957142857143
